model,split,rmse,mae,r2
ols_6,train,28.79814821,22.58121383,0.11448055
ols_6,test,26.31862893,21.01776762,0.23872858
ols_spearman_selected,train,29.08198735,22.73523273,0.09693888
ols_spearman_selected,test,26.66742105,21.43834653,0.21841712
ols_pca2_on_selected,train,29.08198735,22.73523273,0.09693888
ols_pca2_on_selected,test,26.66742105,21.43834653,0.21841712
