class,count,Glucose_centroid,Glucose_vs_median,SkinThickness_centroid,SkinThickness_vs_median,DiabetesPedigreeFunction_centroid,DiabetesPedigreeFunction_vs_median,Age_centroid,Age_vs_median
0,501,106.510978,below_median,21.275449,below_median,0.416287,above_median,27.471058,below_median
1,267,147.883895,above_median,19.149813,below_median,0.576184,above_median,44.067416,above_median
